ratio_name,ratio_label,split,rows,normal_count,negative_count,positive_rate,unique_source_prompt_hash,split_seed
1_1,1:1,train,128134,64061,64073,0.5000468259790531,29363,42
1_1,1:1,valid,31971,15992,15979,0.4997966907509931,7341,42
1_1,1:1,test,39895,19947,19948,0.5000125328988595,9176,42
7_3,7:3,train,91245,63811,27434,0.30066305003013866,29363,142
7_3,7:3,valid,22819,16062,6757,0.2961128883824883,7341,142
7_3,7:3,test,28793,20127,8666,0.3009759316500538,9176,142
8_2,8:2,train,79775,63798,15977,0.20027577561892823,29363,242
8_2,8:2,valid,20089,16101,3988,0.19851660112499378,7341,242
8_2,8:2,test,25136,20101,5035,0.20031031190324633,9176,242
10_1,10:1,train,70519,64125,6394,0.09067059941292417,29363,342
10_1,10:1,valid,17551,15983,1568,0.08933963876702182,7341,342
10_1,10:1,test,21930,19892,2038,0.09293205654354765,9176,342
100_1,100:1,train,64663,64047,616,0.009526313347664043,29363,442
100_1,100:1,valid,16292,16106,186,0.011416646206727228,7341,442
100_1,100:1,test,20045,19847,198,0.009877775006235968,9176,442
