Normal:Mismatch Ratio,Model,Precision,Recall,F1-score,Accuracy,AUROC,AUPRC,TN,FP,FN,TP
1:1,Isolation Forest,0.9020326557814062,0.9499197914577904,0.9253570992552802,0.9233738563729792,0.9692301000297672,0.9584777093222068,17889,2058,999,18949
1:1,LightGBM,0.9739130434782608,0.9657108482053338,0.9697946033024568,0.9699210427371852,0.9953026135863204,0.9955147792834832,19431,516,684,19264
1:1,Random Forest,0.9638811605723372,0.9725787046320432,0.9682104002395449,0.968066173705978,0.9942510652024736,0.993697622681443,19220,727,547,19401
1:1,XGBoost,0.95789995047053,0.9695207539602968,0.963675320145498,0.96345406692568,0.9935425177100304,0.9935595103896964,19097,850,608,19340
7:3,Isolation Forest,0.8174763152590203,0.9359566120470806,0.8727135786528943,0.9178272496787414,0.9696106277182358,0.914405586656446,18316,1811,555,8111
7:3,LightGBM,0.9444507813391124,0.955458112162474,0.9499225606608156,0.9696801305872956,0.9938504505162126,0.9874580810145904,19640,487,386,8280
7:3,Random Forest,0.9272931907709624,0.9507269789983844,0.9388638823998632,0.9627339978466988,0.9923938936289068,0.9823140958128188,19481,646,427,8239
7:3,XGBoost,0.9440233236151604,0.9341103161781676,0.9390406588944956,0.9634980724481644,0.992197165125845,0.9832615052685147,19647,480,571,8095
8:2,Isolation Forest,0.7560893667058626,0.8939424031777558,0.8192573716781943,0.9209898154042012,0.9685696072964596,0.8568006108483172,18649,1452,534,4501
8:2,LightGBM,0.935674822415154,0.9418073485600794,0.938731069979214,0.9753739656269892,0.9947259981581592,0.9830437070827224,19775,326,293,4742
8:2,Random Forest,0.9065784351887894,0.9251241310824232,0.9157573970313576,0.965905474220242,0.991885600359693,0.9669611390894064,19621,480,377,4658
8:2,XGBoost,0.9152840132734724,0.9312810327706058,0.9232132309509746,0.968968809675366,0.992887052460546,0.975032027345658,19667,434,346,4689
10:1,Isolation Forest,0.632183908045977,0.8096172718351324,0.7099827882960413,0.938531691746466,0.9683955528647632,0.7314214628199363,18932,960,388,1650
10:1,LightGBM,0.3910010463899546,0.5500490677134445,0.4570846075433231,0.8785681714546284,0.8771394726814297,0.4330755940013441,18146,1746,917,1121
10:1,Random Forest,0.8245203556387459,0.8645731108930323,0.8440718562874252,0.9703146374829,0.9891023647421296,0.91227057950206,19517,375,276,1762
10:1,XGBoost,0.8861386138613861,0.8783120706575074,0.8822079842286841,0.978203374373005,0.9924247955643496,0.9503550619353373,19662,230,248,1790
100:1,Isolation Forest,0.2690355329949238,0.5353535353535354,0.3581081081081081,0.981042654028436,0.9713579081997484,0.2957029883152913,19559,288,92,106
100:1,LightGBM,0.610062893081761,0.4898989898989899,0.5434173669467787,0.99186829633325,0.9707708413810092,0.5377475114405387,19785,62,101,97
100:1,Random Forest,0.316017316017316,0.3686868686868687,0.3403263403263403,0.9858817660264404,0.9377324919472348,0.2788234063754109,19689,158,125,73
100:1,XGBoost,0.6369426751592356,0.5050505050505051,0.5633802816901409,0.992267398353704,0.9754826442487046,0.5899779977316874,19790,57,98,100
