ratio_name,ratio_label,model_name,normal_count,negative_count,dataset_positive_rate,test_normal_count,test_negative_count,test_positive_rate,score_kind,best_validation_threshold,precision,recall,f1,accuracy,auroc,auprc,tn,fp,fn,tp,fit_seconds,embedding_device,model_device_type,output_dir
1_1,1:1,isolation_forest,100000,100000,0.5,19947,19948,0.5000125328988595,anomaly_score,0.4601574233885112,0.9020326557814062,0.9499197914577903,0.9253570992552802,0.9233738563729791,0.9692301000297671,0.9584777093222067,17889,2058,999,18949,0.8873266000300646,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_1_1/isolation_forest
1_1,1:1,lightgbm,100000,100000,0.5,19947,19948,0.5000125328988595,probability,0.66,0.9739130434782609,0.9657108482053338,0.9697946033024567,0.9699210427371852,0.9953026135863204,0.9955147792834831,19431,516,684,19264,55.32611440005712,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_1_1/lightgbm
1_1,1:1,random_forest,100000,100000,0.5,19947,19948,0.5000125328988595,probability,0.59,0.9638811605723371,0.9725787046320433,0.9682104002395449,0.9680661737059781,0.9942510652024737,0.993697622681443,19220,727,547,19401,843.9501620000228,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_1_1/random_forest
1_1,1:1,xgboost,100000,100000,0.5,19947,19948,0.5000125328988595,probability,0.52,0.95789995047053,0.9695207539602968,0.9636753201454981,0.9634540669256799,0.9935425177100305,0.9935595103896965,19097,850,608,19340,54.24899449991062,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_1_1/xgboost
7_3,7:3,isolation_forest,100000,42857,0.2999992999993,20127,8666,0.3009759316500538,anomaly_score,0.4647343543015462,0.8174763152590203,0.9359566120470806,0.8727135786528943,0.9178272496787414,0.9696106277182358,0.914405586656446,18316,1811,555,8111,0.8646426000632346,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_7_3/isolation_forest
7_3,7:3,lightgbm,100000,42857,0.2999992999993,20127,8666,0.3009759316500538,probability,0.65,0.9444507813391125,0.955458112162474,0.9499225606608157,0.9696801305872955,0.9938504505162126,0.9874580810145903,19640,487,386,8280,44.398043300025165,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_7_3/lightgbm
7_3,7:3,random_forest,100000,42857,0.2999992999993,20127,8666,0.3009759316500538,probability,0.43,0.9272931907709623,0.9507269789983845,0.9388638823998633,0.9627339978466989,0.9923938936289067,0.9823140958128188,19481,646,427,8239,484.60999709996395,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_7_3/random_forest
7_3,7:3,xgboost,100000,42857,0.2999992999993,20127,8666,0.3009759316500538,probability,0.61,0.9440233236151604,0.9341103161781675,0.9390406588944957,0.9634980724481644,0.992197165125845,0.9832615052685147,19647,480,571,8095,39.41887819999829,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_7_3/xgboost
8_2,8:2,isolation_forest,100000,25000,0.2,20101,5035,0.20031031190324633,anomaly_score,0.4682153884860134,0.7560893667058626,0.8939424031777558,0.8192573716781943,0.9209898154042011,0.9685696072964597,0.8568006108483172,18649,1452,534,4501,0.8650273999664932,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_8_2/isolation_forest
8_2,8:2,lightgbm,100000,25000,0.2,20101,5035,0.20031031190324633,probability,0.64,0.9356748224151539,0.9418073485600794,0.9387310699792141,0.9753739656269892,0.9947259981581593,0.9830437070827224,19775,326,293,4742,36.65896470006555,cuda,cpu,./outputs/runs/paper_ratio_study_results/ratio_8_2/lightgbm
